light,n,mean_percent_closure,sem_percent_closure,mean_closure_um,sem_closure_um
R,14,0.46591488863584,0.08999252621297568,579.3720594133649,125.76952059006915
UV,16,0.6598062562115897,0.08331283992436457,899.74001121521,137.79313802849097
control,2,0.7390782796938341,0.26092172030616584,1152.5404663085938,438.94427490234375
