file_before,well,width_um_before,width_std_um_before,scratch_area_px_before,width_cv_before,valid_rows_before,cell_confluence_outside_scratch_before,qc_flag_before,overlay_path_before,panel_path_before,mode_before,file_after,width_um_after,width_std_um_after,scratch_area_px_after,width_cv_after,valid_rows_after,cell_confluence_outside_scratch_after,qc_flag_after,overlay_path_after,panel_path_after,mode_after,width_um_effective,light,time,treatment_file,closure_um,percent_closure
23D2.jpg,D2,1135.5126953125,149.81028747558594,1759246,0.1319318562746048,2340,0.468338879896812,ok,/Users/ethanzhang/Desktop/02261/final/final_output/debug/before_23D2_overlay.jpg,/Users/ethanzhang/Desktop/02261/final/final_output/debug/before_23D2_panel.png,before,PTD2.jpg,902.2642822265625,230.53179931640625,688960,0.2555036246776581,1205,0.4701226179259004,ok,/Users/ethanzhang/Desktop/02261/final/final_output/debug/after_PTD2_overlay.jpg,/Users/ethanzhang/Desktop/02261/final/final_output/debug/after_PTD2_panel.png,after,902.2642822265625,unknown,unknown,,233.2484130859375,0.20541242211452873
24D1.jpg,D1,1492.3902587890625,283.29022216796875,2180452,0.18982315063476562,2334,0.4640325543260499,ok,/Users/ethanzhang/Desktop/02261/final/final_output/debug/before_24D1_overlay.jpg,/Users/ethanzhang/Desktop/02261/final/final_output/debug/before_24D1_panel.png,before,PTD1.jpg,778.7940673828125,208.9971160888672,1001766,0.2683599293231964,2313,0.4655560231295962,ok,/Users/ethanzhang/Desktop/02261/final/final_output/debug/after_PTD1_overlay.jpg,/Users/ethanzhang/Desktop/02261/final/final_output/debug/after_PTD1_panel.png,after,778.7940673828125,control,5 min,tD1_control_R_5m.jpg,713.59619140625,0.47815655938766827
25D3.jpg,D3,1138.8997802734375,149.3156280517578,1764286,0.13110515475273132,2337,0.46664180359637,ok,/Users/ethanzhang/Desktop/02261/final/final_output/debug/before_25D3_overlay.jpg,/Users/ethanzhang/Desktop/02261/final/final_output/debug/before_25D3_panel.png,before,PTD3.jpg,823.0650634765625,224.3155517578125,809022,0.27253684401512146,1647,0.46481977901512833,ok,/Users/ethanzhang/Desktop/02261/final/final_output/debug/after_PTD3_overlay.jpg,/Users/ethanzhang/Desktop/02261/final/final_output/debug/after_PTD3_panel.png,after,823.0650634765625,R,10 s,tD3_R_10.jpg,315.834716796875,0.27731563590349145
26D4.jpg,D4,1719.714111328125,477.9193420410156,1182465,0.27790626883506775,1059,0.4585211492054819,ok,/Users/ethanzhang/Desktop/02261/final/final_output/debug/before_26D4_overlay.jpg,/Users/ethanzhang/Desktop/02261/final/final_output/debug/before_26D4_panel.png,before,PTD4.jpg,840.5071411132812,188.33180236816406,501970,0.2240692675113678,1029,0.46778300384010596,ok,/Users/ethanzhang/Desktop/02261/final/final_output/debug/after_PTD4_overlay.jpg,/Users/ethanzhang/Desktop/02261/final/final_output/debug/after_PTD4_panel.png,after,840.5071411132812,R,1 min,tD4_R_1m.jpg,879.2069702148438,0.5112518205341918
27D5.jpg,D5,1050.503662109375,197.5132598876953,1608028,0.18801766633987427,2310,0.46256762555910774,ok,/Users/ethanzhang/Desktop/02261/final/final_output/debug/before_27D5_overlay.jpg,/Users/ethanzhang/Desktop/02261/final/final_output/debug/before_27D5_panel.png,before,PTD5.jpg,1122.960693359375,245.21426391601562,737110,0.21836405992507935,1132,0.46982561468856987,ok,/Users/ethanzhang/Desktop/02261/final/final_output/debug/after_PTD5_overlay.jpg,/Users/ethanzhang/Desktop/02261/final/final_output/debug/after_PTD5_panel.png,after,1122.960693359375,R,5 min,tD5_R_5m.jpg,-72.45703125,-0.06897361129090096
28D8.jpg,D8,1367.503662109375,368.3210754394531,2032080,0.2693382799625397,2345,0.46022935888444216,ok,/Users/ethanzhang/Desktop/02261/final/final_output/debug/before_28D8_overlay.jpg,/Users/ethanzhang/Desktop/02261/final/final_output/debug/before_28D8_panel.png,before,PTD8.jpg,,,0,,0,0.4664620309194671,no_scratch,/Users/ethanzhang/Desktop/02261/final/final_output/debug/after_PTD8_overlay.jpg,/Users/ethanzhang/Desktop/02261/final/final_output/debug/after_PTD8_panel.png,after,0.0,unknown,unknown,,1367.503662109375,1.0
30B7.jpg,B7,1600.965087890625,384.2539367675781,1578461,0.2400139421224594,1685,0.4613056210328155,ok,/Users/ethanzhang/Desktop/02261/final/final_output/debug/before_30B7_overlay.jpg,/Users/ethanzhang/Desktop/02261/final/final_output/debug/before_30B7_panel.png,before,PTB7.jpg,,,0,,0,0.45831410452421883,no_scratch,/Users/ethanzhang/Desktop/02261/final/final_output/debug/after_PTB7_overlay.jpg,/Users/ethanzhang/Desktop/02261/final/final_output/debug/after_PTB7_panel.png,after,0.0,unknown,unknown,,1600.965087890625,1.0
31E11.jpg,E11,1544.8824462890625,396.59716796875,2163281,0.2567167282104492,2326,0.4594424259553886,ok,/Users/ethanzhang/Desktop/02261/final/final_output/debug/before_31E11_overlay.jpg,/Users/ethanzhang/Desktop/02261/final/final_output/debug/before_31E11_panel.png,before,PTE11.jpg,,,0,,0,0.45638799230776395,no_scratch,/Users/ethanzhang/Desktop/02261/final/final_output/debug/after_PTE11_overlay.jpg,/Users/ethanzhang/Desktop/02261/final/final_output/debug/after_PTE11_panel.png,after,0.0,UV,5 min,tE11_UV_5m.jpg,1544.8824462890625,1.0
32E6.jpg,E6,1448.64306640625,252.70635986328125,2109734,0.17444349825382233,2334,0.45827556365825994,ok,/Users/ethanzhang/Desktop/02261/final/final_output/debug/before_32E6_overlay.jpg,/Users/ethanzhang/Desktop/02261/final/final_output/debug/before_32E6_panel.png,before,PTE6.jpg,,,0,,0,0.4638918458298075,no_scratch,/Users/ethanzhang/Desktop/02261/final/final_output/debug/after_PTE6_overlay.jpg,/Users/ethanzhang/Desktop/02261/final/final_output/debug/after_PTE6_panel.png,after,0.0,R,10 min,tE6_R_10m.jpg,1448.64306640625,1.0
33D10.jpg,D10,1053.5040283203125,189.55006408691406,1585607,0.1799234300851822,2321,0.4588593432206206,ok,/Users/ethanzhang/Desktop/02261/final/final_output/debug/before_33D10_overlay.jpg,/Users/ethanzhang/Desktop/02261/final/final_output/debug/before_33D10_panel.png,before,PTD10.jpg,556.1030883789062,94.30213165283203,213931,0.1695767045021057,714,0.4659591861211981,ok,/Users/ethanzhang/Desktop/02261/final/final_output/debug/after_PTD10_overlay.jpg,/Users/ethanzhang/Desktop/02261/final/final_output/debug/after_PTD10_panel.png,after,556.1030883789062,UV,1 min,tD10_UV_1m.jpg,497.40093994140625,0.4721395709653367
