group_protocol,time_protocol,n,mean_percent_closure,sem_percent_closure,mean_closure_um,sem_closure_um
R,10s,5,0.43708218196217763,0.15045345409692001,465.9330322265625,157.64435297537372
R,1m,3,0.6054935150705438,0.20602419275022577,905.7510579427084,305.0381000348319
R,5m,1,0.4810685152622403,,496.6736450195313,
R,10m,4,0.5272055204769752,0.18316427376728797,660.0184707641602,286.0505903188998
UV,10s,3,0.7310884938174643,0.2689115061825358,996.7852376302084,495.8317691942542
UV,1m,4,0.6291753072487731,0.12856589929849963,953.9217071533203,281.1613331804555
UV,5m,5,0.7765628349685938,0.1405014729869449,1097.7377563476562,203.93562155219962
UV,10m,4,0.49102980352374515,0.19098519329719002,525.277214050293,205.03185547157665
control_R,,4,0.5323319692962271,0.19819165881024367,703.282356262207,282.1385152291808
control_UV,,3,0.7655186506706415,0.23448134932935852,907.2602742513021,327.12628289590833
control_global,,3,0.826052186462556,0.17394781353744393,1239.5430501302083,267.9430444730469
